zpid,state_code,state_name,address,street,city,zipcode,price,price_formatted,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,open_house_date,is_featured
347390657,PA,Pennsylvania,"6136 S 219th East Ave, Broken Arrow, OK 74014",6136 S 219th East Ave,Broken Arrow,74014,299900,"$299,900 ",4,2,2128,36.074165,-95.73462,House for sale,SINGLE_FAMILY,104,,https://www.zillow.com/homedetails/6136-S-219th-East-Ave-Broken-Arrow-OK-74014/347390657_zpid/,FALSE,,FALSE
21708030,PA,Pennsylvania,"2219 E Pleasantview Ln, Mustang, OK 73064",2219 E Pleasantview Ln,Mustang,73064,140000,$140K,3,2,1540,35.388264,-97.67825,Auction,SINGLE_FAMILY,18,212300,https://www.zillow.com/homedetails/2219-E-Pleasantview-Ln-Mustang-OK-73064/21708030_zpid/,FALSE,,FALSE
151627341,PA,Pennsylvania,"11790 E Etowah Rd, Noble, OK 73068",11790 E Etowah Rd,Noble,73068,1150000,"$1,150,000 ",4,4,3960,35.144936,-97.26865,House for sale,SINGLE_FAMILY,2,322100,https://www.zillow.com/homedetails/11790-E-Etowah-Rd-Noble-OK-73068/151627341_zpid/,FALSE,,FALSE
123701159,PA,Pennsylvania,"5708 SE 148th St, Oklahoma City, OK 73165",5708 SE 148th St,Oklahoma City,73165,495000,"$495,000 ",4,3,2794,35.320267,-97.42178,House for sale,SINGLE_FAMILY,1,486800,https://www.zillow.com/homedetails/5708-SE-148th-St-Oklahoma-City-OK-73165/123701159_zpid/,FALSE,,FALSE
449895763,PA,Pennsylvania,"11410 S Mulberry Cir, Jenks, OK 74037",11410 S Mulberry Cir,Jenks,74037,365000,"$365,000 ",4,3,1993,35.99856,-95.98728,House for sale,SINGLE_FAMILY,2,358900,https://www.zillow.com/homedetails/11410-S-Mulberry-Cir-Jenks-OK-74037/449895763_zpid/,FALSE,,FALSE
22062533,PA,Pennsylvania,"1919 N Union Ave, Shawnee, OK 74804",1919 N Union Ave,Shawnee,74804,285183,"$285,183 ",4,3,2776,35.353188,-96.92072,House for sale,SINGLE_FAMILY,3,284400,https://www.zillow.com/homedetails/1919-N-Union-Ave-Shawnee-OK-74804/22062533_zpid/,FALSE,,FALSE
460345109,PA,Pennsylvania,"809 W Fastrunner Rd, Fort Cobb, OK 73038",809 W Fastrunner Rd,Fort Cobb,73038,224900,"$224,900 ",4,2,2054,35.10266,-98.44474,House for sale,SINGLE_FAMILY,0,,https://www.zillow.com/homedetails/809-W-Fastrunner-Rd-Fort-Cobb-OK-73038/460345109_zpid/,FALSE,,FALSE
338677177,PA,Pennsylvania,"30 Split Shot Cir, Broken Bow, OK 74728",30 Split Shot Cir,Broken Bow,74728,995000,"$995,000 ",5,3,3315,34.112404,-94.707596,House for sale,SINGLE_FAMILY,0,949300,https://www.zillow.com/homedetails/30-Split-Shot-Cir-Broken-Bow-OK-74728/338677177_zpid/,FALSE,,FALSE
21994116,PA,Pennsylvania,"6121 SE 7th St, Midwest City, OK 73110",6121 SE 7th St,Midwest City,73110,179000,"$179,000 ",3,2,1487,35.45757,-97.41705,House for sale,SINGLE_FAMILY,3,,https://www.zillow.com/homedetails/6121-SE-7th-St-Midwest-City-OK-73110/21994116_zpid/,FALSE,,FALSE
21747421,PA,Pennsylvania,"10208 Richmond Dr, Oklahoma City, OK 73165",10208 Richmond Dr,Oklahoma City,73165,122500,"$122,500 ",2,1,1600,35.365208,-97.29077,House for sale,SINGLE_FAMILY,2,,https://www.zillow.com/homedetails/10208-Richmond-Dr-Oklahoma-City-OK-73165/21747421_zpid/,FALSE,,FALSE
21956146,PA,Pennsylvania,"6601 NW 150th St, Oklahoma City, OK 73142",6601 NW 150th St,Oklahoma City,73142,219900,"$219,900 ",3,3,1806,35.623955,-97.63155,House for sale,SINGLE_FAMILY,2,220000,https://www.zillow.com/homedetails/6601-NW-150th-St-Oklahoma-City-OK-73142/21956146_zpid/,FALSE,,FALSE
62633366,PA,Pennsylvania,"4200 W Kent St, Broken Arrow, OK 74012",4200 W Kent St,Broken Arrow,74012,304900,"$304,900 ",3,3,2219,36.022743,-95.840164,House for sale,SINGLE_FAMILY,2,,https://www.zillow.com/homedetails/4200-W-Kent-St-Broken-Arrow-OK-74012/62633366_zpid/,FALSE,,FALSE
444851292,PA,Pennsylvania,"1204 N Willow Ave, Broken Arrow, OK 74012",1204 N Willow Ave,Broken Arrow,74012,295310,"$295,310 ",4,3,2683,36.06255,-95.84065,House for sale,SINGLE_FAMILY,9,291200,https://www.zillow.com/homedetails/1204-N-Willow-Ave-Broken-Arrow-OK-74012/444851292_zpid/,FALSE,,FALSE
21956789,PA,Pennsylvania,"14701 N Western Ave, Edmond, OK 73013",14701 N Western Ave,Edmond,73013,1595000,"$1,595,000 ",4,5,6397,35.61943,-97.53214,House for sale,SINGLE_FAMILY,1,,https://www.zillow.com/homedetails/14701-N-Western-Ave-Edmond-OK-73013/21956789_zpid/,FALSE,,FALSE
